Name,YT Scope Project,
File,C:\Users\Banan\mas247\mas247_olje\StepResponsePlot.csv,
Starttime of export,133437580216110000,Monday, November 6, 2023,16:27:01.611
Endtime of export,133437583732510000,Monday, November 6, 2023,16:32:53.251


Name,Level_Transmitter_2,Name,Pressure_Differencial_Transmitter_1
SymbolComment,,SymbolComment,
Data-Type,INT16,Data-Type,INT16
SampleTime[ms],10,SampleTime[ms],10
VariableSize,2,VariableSize,2
SymbolBased,True,SymbolBased,True
IndexGroup,61472,IndexGroup,61472
IndexOffset,385156,IndexOffset,385160
SymbolName,MAIN.Level_Transmitter_2,SymbolName,MAIN.Pressure_Differencial_Transmitter_1
NetID,5.112.67.239.1.1,NetID,5.112.67.239.1.1
Port,851,Port,851
Offset,0,Offset,0
ScaleFactor,1,ScaleFactor,1
BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff
Unit,(None),Unit,(None)
Unit ScaleFactor,1,Unit ScaleFactor,1
Unit Offset,0,Unit Offset,0

9510,0,9510,2685
9520,0,9520,2683
9530,0,9530,2682
9540,0,9540,2682
9550,0,9550,2685
9560,0,9560,2686
9570,0,9570,2685
9580,0,9580,2683
9590,0,9590,2679
9600,0,9600,2676
9610,0,9610,2681
9620,0,9620,2685
9630,0,9630,2682
9640,0,9640,2685
9650,0,9650,2685
9660,0,9660,2683
9670,0,9670,2682
9680,0,9680,2679
9690,0,9690,2681
9700,0,9700,2681
9710,0,9710,2679
9720,0,9720,2682
9730,0,9730,2678
9740,0,9740,2679
9750,0,9750,2681
9760,0,9760,2678
9770,0,9770,2678
9780,0,9780,2683
9790,0,9790,2682
9800,0,9800,2678
9810,0,9810,2676
9820,0,9820,2678
9830,0,9830,2683
9840,0,9840,2683
9850,0,9850,2678
9860,0,9860,2678
9870,0,9870,2679
9880,0,9880,2681
9890,0,9890,2681
9900,0,9900,2682
9910,0,9910,2685
9920,0,9920,2685
9930,0,9930,2687
9940,0,9940,2686
9950,0,9950,2679
9960,0,9960,2681
9970,0,9970,2685
9980,0,9980,2683
9990,0,9990,2683
10000,0,10000,2682
10010,0,10010,2681
10020,0,10020,2681
10030,0,10030,2679
10040,0,10040,2683
10050,0,10050,2685
10060,0,10060,2678
10070,0,10070,2681
10080,0,10080,2683
10090,0,10090,2685
10100,0,10100,2690
10110,0,10110,2689
10120,0,10120,2681
10130,0,10130,2679
10140,0,10140,2685
10150,0,10150,2686
10160,0,10160,2682
10170,0,10170,2679
